DEP_ANNEE,DEP_MOIS,nb_departures
2010,1,5
2010,2,2
2010,3,46
2010,4,8
2010,5,5
2010,6,6
2010,7,2
2010,8,8
2010,9,6
2010,10,2
2010,11,5
2010,12,3
2011,1,5
2011,2,9
2011,3,6
2011,4,8
2011,5,3
2011,6,6
2011,7,3
2011,8,2
2011,9,7
2011,10,6
2011,11,9
2011,12,4
2012,1,2
2012,2,7
2012,3,7
2012,4,10
2012,5,7
2012,6,6
2012,7,6
2012,8,7
2012,9,7
2012,10,10
2012,11,8
2012,12,4
2013,1,3
2013,2,9
2013,3,7
2013,4,13
2013,5,4
2013,6,3
2013,7,4
2013,8,8
2013,9,4
2013,10,9
2013,11,8
2013,12,4
2014,1,9
2014,2,13
2014,3,3
2014,4,14
2014,5,11
2014,6,5
2014,7,7
2014,8,8
2014,9,7
2014,10,10
2014,11,12
2014,12,8
2015,1,8
2015,2,10
2015,3,13
2015,4,11
2015,5,5
2015,6,9
2015,7,10
2015,8,7
2015,9,6
2015,10,5
2015,11,5
2015,12,4
2016,1,8
2016,2,15
2016,3,14
2016,4,9
2016,5,10
2016,6,4
2016,7,8
2016,8,7
2016,9,8
2016,10,10
2016,11,8
2016,12,12
2017,1,4
2017,2,14
2017,3,8
2017,4,10
2017,5,7
2017,6,11
2017,7,7
2017,8,8
2017,9,9
2017,10,10
2017,11,15
2017,12,8
2018,1,28
2018,2,35
2018,3,29
2018,4,12
2018,5,6
2018,6,9
2018,7,7
2018,8,20
2018,9,6
2018,10,6
2018,11,10
2018,12,3
2019,1,7
2019,2,10
2019,3,8
2019,4,9
2019,5,10
2019,6,9
2019,7,5
2019,8,3
2019,9,3
2019,10,5
2019,11,1
2019,12,2
2020,1,5
2020,2,3
2020,3,3
2020,4,2
2020,5,5
2020,6,4
2020,7,8
2020,8,5
2020,9,10
2020,10,6
2020,11,4
2020,12,8
